,,,,,
,種類,特徴,MBTI,性格,キャッチコピー
,オオサンショウウオ,"世界最大級の両生類
基本的に夜行性
普段は岩陰でじっとしている
動くときは意外と大胆",INTP,"マイペース
落ち着いている
自分の世界を持っている
深く考えるタイプ",自分の流れで生きていこう。
,ハコネサンショウウオ,"山地の湿った場所に住む
小柄
人目につきにくい",INFP,"繊細
優しい
気配り上手
少人数が好き",静かな場所で、本当の力を発揮する。
,ブチサンショウウオ,"模様が個体ごとに違う
西日本に広く分布",ENFP,"個性的
創造力豊か
マイノリティを恐れない",みんな同じじゃなくていい。
,アベサンショウウオ,"日本固有種
生息地が限られる
保全が必要",INFJ,"芯が強い
信念を持つ
仲間を大切にする",守るために生きる。
,カスミサンショウウオ,"西日本に広く分布
平地～丘陵地の水田やため池周辺にも生息
春先に繁殖する
環境変化の影響を受けやすい",ENFJ,"周囲との調和を大切にする
気遣い上手
優しい
人との繋がりを大切にする",居場所がないなら、居場所になろう。
,トサシミズサンショウウオ,"高知県土佐清水市周辺のみで確認されている
比較的新しく記載された種
非常に限られた地域に生息
固有性が高い",ENTP,"個性的
独創的
好奇心旺盛
他人と違うことを恐れない",まだ誰も知らない景色を探してる。
,オオダイガハラサンショウウオ,"奈良県・三重県周辺の山岳地帯に生息
日本のサンショウウオの中では比較的大型
渓流で繁殖する
山奥のきれいな環境を好む",ESTJ,"自立心が強い
困難に挑戦する
妥協が苦手
理想を追い求める",険しい道ほど、歩いてみたい。
,キタサンショウウオ,"北海道に生息
シベリアまで広く分布
寒さに非常に強い
凍結に耐える能力で有名",ISTJ,"我慢強い
忍耐力が高い
コツコツ積み上げる
派手さより安定",ゆっくりでも、止まらなければ進んでいる。
,チュウゴクオオサンショウウオ,"世界最大級の両生類
中国原産
日本のオオサンショウウオよりさらに大型になる
野生個体は減少している",ENTJ,"発想が大きい
好奇心旺盛
リーダー気質
周囲を巻き込む",夢は大きいほうが面白い。
,イシヅチサンショウウオ,"四国（石鎚山系など）の標高が高い渓流沿いに生息
他のサンショウウオに比べて四肢や指が長く、岩場を登るのが得意
目立たない場所を好み、夜間にひっそりと活動する",INTJ,"戦略的で合理的
独自の高い目標を持つ
一人の時間を大切にする
冷静沈着でブレない",潜み、静かに高みを目指す。
,ヒダサンショウウオ,"本州の中部・関東などの山岳地帯の渓流に生息
非常に美しい紫色や暗褐色の体色を持つ個体が多い
流れの速い清流の、岩の隙間など険しい環境に適応している",ISTP,"実用的で器用
スリルや挑戦を好む
一匹狼で職人気質
観察力が高く、いざという時の行動力が抜群",険しい流れさえも、自分の遊び場にする。
,オキサンショウウオ,"隠岐諸島（島根県）にのみ生息する固有種
黄色や金色の斑紋が美しく散りばめられているのが特徴
島という限られた美しい自然環境の中でひっそりと暮らす",ISFP,"芸術肌で繊細
独自の美学を持っている
今この瞬間を楽しむ
争いを嫌い、調和を愛する",自分だけの色彩で、世界を優しく彩る。
,トウホクサンショウウオ,"東北地方を中心に、北日本に広く分布
水田の池や、静かな止水域の落ち葉の下などに生息
環境への適応力が高く、地域の人々の身近な自然に寄り添う",ISFJ,"献身的で真面目
周囲への配慮を怠らない
約束や伝統を重んじる
縁の下の力持ちタイプ",変わらない日常を、そっと支え続ける。
,クロサンショウウオ,"本州の主に日本海側に分布
繁殖期になると、白い泡状の非常に目立つ卵のう（卵の塊）を水面近くに産む
真っ黒でツヤのある体が特徴的で、集団での繁殖行動がダイナミック",ESFP,"お祭り男／女タイプ
社交的でエネルギーに満ちている
人をワクワクさせるのが得意
今を楽しみたいエンターテイナー",この瞬間を、誰よりも熱く盛り上げる。
,ツシマサンショウウオ,"対馬（長崎県）にのみ生息する固有種
大陸系のサンショウウオに近く、力強い生態を持つ
渓流から水田まで幅広い環境で、俊敏に獲物を捕らえるハンター",ESTP,"エネルギーの塊
実践的で、考えるより先に動く
リスクを恐れず挑戦する
現実的な課題解決が得意",考えるな、本能のままに突き進め。
,ベッコウサンショウウオ,"九州や四国などの一部に生息
（※非常に希少で、現在は生息地ごとに分類が見直されつつある、ベっこう飴のような美しい斑紋が特徴）
地域の豊かな自然環境が残る場所で、コミュニティを形成するように生息する",ESFJ,"面倒見がよく、社交的
コミュニティの絆を何より大事にする
他人の喜びが自分の喜び
ルールや調和を大切にする",みんなの笑顔が、私のまぶしいエネルギー。